date,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulative_aqi,temp_high,temp_low,temp_avg
2017-01-01,0.5,6.0,36.0,34.0,0.026,24.0,21.0,19.0,9.6,40.0,5.0,7.0,40.0,43,27,35.0
2017-01-02,0.5,6.0,33.0,31.0,0.009,8.0,18.0,17.0,14.1,55.0,2.0,3.0,55.0,50,34,42.0
2017-01-03,0.4,5.0,24.0,23.0,0.015,14.0,9.0,8.0,7.7,32.0,0.0,0.0,32.0,50,40,45.0
2017-01-06,0.3,3.0,25.0,24.0,0.024,22.0,17.0,16.0,14.1,55.0,0.0,0.0,55.0,16,5,10.5
2017-01-07,0.3,3.0,26.0,25.0,0.03,28.0,17.0,16.0,13.4,54.0,0.0,0.0,54.0,17,6,11.5
2017-01-08,0.2,2.0,9.0,8.0,0.032,30.0,10.0,9.0,1.5,6.0,1.0,1.0,30.0,19,12,15.5
2017-01-09,0.4,5.0,26.0,25.0,0.023,21.0,39.0,36.0,11.3,47.0,8.0,11.0,47.0,31,15,23.0
2017-01-10,0.4,5.0,27.0,25.0,0.032,30.0,13.0,12.0,5.6,23.0,1.0,1.0,30.0,51,28,39.5
2017-01-11,0.4,5.0,25.0,24.0,0.024,22.0,20.0,19.0,10.2,43.0,5.0,7.0,43.0,59,35,47.0
2017-01-12,0.3,3.0,22.0,21.0,0.028,26.0,11.0,10.0,9.4,39.0,9.0,13.0,39.0,65,33,49.0
2017-01-13,0.3,3.0,14.0,13.0,0.027,25.0,15.0,14.0,6.8,28.0,10.0,14.0,28.0,33,26,29.5
2017-01-14,0.3,3.0,20.0,19.0,0.026,24.0,12.0,11.0,8.3,35.0,1.0,1.0,35.0,34,26,30.0
2017-01-15,0.7,8.0,37.0,35.0,0.015,14.0,21.0,19.0,21.3,70.0,8.0,11.0,70.0,35,20,27.5
2017-01-16,0.7,8.0,34.0,32.0,0.005,5.0,39.0,36.0,29.0,87.0,2.0,3.0,87.0,41,22,31.5
2017-01-17,0.5,6.0,24.0,23.0,0.02,19.0,12.0,11.0,11.0,46.0,1.0,1.0,46.0,61,41,51.0
2017-01-18,0.3,3.0,14.0,13.0,0.02,19.0,5.0,5.0,4.0,17.0,0.0,0.0,19.0,45,38,41.5
2017-01-19,0.3,3.0,23.0,22.0,0.016,15.0,11.0,10.0,8.1,34.0,0.0,0.0,34.0,46,36,41.0
2017-01-20,0.5,6.0,22.0,21.0,0.006,6.0,13.0,12.0,10.6,44.0,1.0,1.0,44.0,55,37,46.0
2017-01-21,0.6,7.0,22.0,21.0,0.021,19.0,19.0,18.0,12.2,51.0,4.0,6.0,51.0,63,42,52.5
2017-01-22,0.4,5.0,21.0,20.0,0.015,14.0,16.0,15.0,9.2,38.0,4.0,6.0,38.0,64,41,52.5
2017-01-23,0.4,5.0,19.0,18.0,0.014,13.0,11.0,10.0,10.5,44.0,0.0,0.0,44.0,44,40,42.0
2017-01-24,0.3,3.0,16.0,15.0,0.02,19.0,7.0,6.0,8.4,35.0,3.0,4.0,35.0,41,36,38.5
2017-01-25,0.3,3.0,24.0,23.0,0.024,22.0,15.0,14.0,7.8,33.0,3.0,4.0,33.0,52,37,44.5
2017-01-26,0.2,2.0,10.0,9.0,0.021,19.0,5.0,5.0,2.8,12.0,0.0,0.0,19.0,42,33,37.5
2017-01-27,0.2,2.0,12.0,11.0,0.026,24.0,7.0,6.0,5.0,21.0,0.0,0.0,24.0,34,29,31.5
2017-01-28,0.2,2.0,7.0,7.0,0.025,23.0,10.0,9.0,8.9,37.0,0.0,0.0,37.0,31,28,29.5
2017-01-29,0.2,2.0,18.0,17.0,0.032,30.0,7.0,6.0,6.0,25.0,0.0,0.0,30.0,32,26,29.0
2017-01-30,0.3,3.0,21.0,20.0,0.033,31.0,9.0,8.0,2.4,10.0,3.0,4.0,31.0,27,23,25.0
2017-02-01,0.3,3.0,32.0,30.0,0.029,27.0,8.0,7.0,5.2,22.0,0.0,0.0,30.0,38,31,34.5
2017-02-02,0.3,3.0,17.0,16.0,0.034,31.0,12.0,11.0,5.0,21.0,0.0,0.0,31.0,33,21,27.0
2017-02-03,0.3,3.0,24.0,23.0,0.039,36.0,22.0,20.0,7.1,30.0,0.0,0.0,36.0,27,18,22.5
2017-02-04,0.2,2.0,17.0,16.0,0.034,31.0,12.0,11.0,3.4,14.0,4.0,6.0,31.0,33,16,24.5
2017-02-05,0.2,2.0,10.0,9.0,0.03,28.0,16.0,15.0,8.6,36.0,1.0,1.0,36.0,44,30,37.0
2017-02-07,0.5,6.0,30.0,28.0,0.027,25.0,15.0,14.0,9.4,39.0,1.0,1.0,39.0,60,47,53.5
2017-02-08,0.3,3.0,12.0,11.0,0.033,31.0,10.0,9.0,2.8,12.0,0.0,0.0,31.0,53,28,40.5
2017-02-09,0.2,2.0,10.0,9.0,0.035,32.0,15.0,14.0,1.9,8.0,0.0,0.0,32.0,28,19,23.5
2017-02-10,0.6,7.0,22.0,21.0,0.024,22.0,35.0,32.0,10.0,42.0,11.0,16.0,42.0,37,16,26.5
2017-02-11,0.6,7.0,33.0,31.0,0.021,19.0,22.0,20.0,10.5,44.0,0.0,0.0,44.0,51,37,44.0
2017-02-12,0.7,8.0,31.0,29.0,0.039,36.0,12.0,11.0,17.5,62.0,0.0,0.0,62.0,46,35,40.5
2017-02-13,0.5,6.0,46.0,43.0,0.036,33.0,25.0,23.0,4.4,18.0,1.0,1.0,43.0,40,31,35.5
2017-02-14,0.6,7.0,17.0,16.0,0.035,32.0,19.0,18.0,5.9,25.0,1.0,1.0,32.0,52,32,42.0
2017-02-15,0.2,2.0,10.0,9.0,0.033,31.0,9.0,8.0,2.2,9.0,0.0,0.0,31.0,42,28,35.0
2017-02-16,0.4,5.0,46.0,43.0,0.033,31.0,28.0,26.0,4.0,17.0,3.0,4.0,43.0,30,22,26.0
2017-02-17,0.5,6.0,39.0,37.0,0.032,30.0,49.0,45.0,14.2,55.0,12.0,17.0,55.0,54,26,40.0
2017-02-18,0.4,5.0,13.0,12.0,0.048,44.0,20.0,19.0,8.3,35.0,1.0,1.0,44.0,69,49,59.0
2017-02-19,0.5,6.0,39.0,37.0,0.038,35.0,28.0,26.0,17.7,63.0,0.0,0.0,63.0,64,42,53.0
2017-02-20,1.0,11.0,45.0,42.0,0.014,13.0,50.0,46.0,17.1,62.0,2.0,3.0,62.0,59,33,46.0
2017-02-21,0.6,7.0,43.0,41.0,0.026,24.0,71.0,59.0,14.3,56.0,8.0,11.0,59.0,67,45,56.0
2017-02-22,0.7,8.0,38.0,36.0,0.034,31.0,28.0,26.0,17.4,62.0,4.0,6.0,62.0,63,52,57.5
2017-02-23,0.5,6.0,36.0,34.0,0.027,25.0,27.0,25.0,15.0,57.0,0.0,0.0,57.0,68,52,60.0
2017-02-24,0.5,6.0,30.0,28.0,0.038,35.0,32.0,30.0,13.3,54.0,7.0,10.0,54.0,77,45,61.0
2017-02-25,0.2,2.0,5.0,5.0,0.031,29.0,5.0,5.0,3.4,14.0,0.0,0.0,29.0,61,27,44.0
2017-02-26,0.2,2.0,7.0,7.0,0.036,33.0,8.0,7.0,4.2,18.0,0.0,0.0,33.0,43,26,34.5
2017-02-27,0.3,3.0,18.0,17.0,0.036,33.0,14.0,13.0,4.3,18.0,1.0,1.0,33.0,50,36,43.0
2017-02-28,0.6,7.0,25.0,24.0,0.029,27.0,29.0,27.0,13.1,53.0,6.0,9.0,53.0,61,39,50.0
2017-03-02,0.2,2.0,9.0,8.0,0.038,35.0,12.0,11.0,2.8,12.0,0.0,0.0,35.0,35,27,31.0
2017-03-03,0.2,2.0,14.0,13.0,0.038,35.0,14.0,13.0,2.7,11.0,0.0,0.0,35.0,28,24,26.0
2017-03-04,0.2,2.0,12.0,11.0,0.04,37.0,10.0,9.0,1.4,6.0,0.0,0.0,37.0,29,21,25.0
2017-03-07,0.4,5.0,11.0,10.0,0.037,34.0,14.0,13.0,8.2,34.0,1.0,1.0,34.0,61,44,52.5
2017-04-13,0.4,5.0,31.0,29.0,0.026,24.0,18.0,17.0,6.5,27.0,0.0,0.0,29.0,56,45,50.5
2017-04-14,0.5,6.0,40.0,38.0,0.038,35.0,24.0,22.0,6.6,28.0,2.0,3.0,38.0,66,46,56.0
2017-04-15,0.5,6.0,24.0,23.0,0.053,49.0,33.0,31.0,13.2,53.0,5.0,7.0,53.0,83,54,68.5
2017-04-16,0.2,2.0,10.0,9.0,0.047,44.0,17.0,16.0,7.7,32.0,1.0,1.0,44.0,80,62,71.0
2017-04-17,0.3,3.0,31.0,29.0,0.038,35.0,13.0,12.0,4.1,17.0,1.0,1.0,35.0,66,49,57.5
2017-04-18,0.4,5.0,30.0,28.0,0.046,43.0,24.0,22.0,5.8,24.0,1.0,1.0,43.0,72,46,59.0
2017-04-19,0.3,3.0,25.0,24.0,0.033,31.0,27.0,25.0,9.3,39.0,10.0,14.0,39.0,78,56,67.0
2017-04-20,0.4,5.0,29.0,27.0,0.031,29.0,22.0,20.0,16.0,59.0,1.0,1.0,59.0,82,54,68.0
2017-04-21,0.4,5.0,8.0,8.0,0.031,29.0,6.0,6.0,6.2,26.0,0.0,0.0,29.0,66,47,56.5
2017-04-22,0.2,2.0,13.0,12.0,0.033,31.0,5.0,5.0,3.1,13.0,1.0,1.0,31.0,52,42,47.0
2017-04-23,0.4,5.0,39.0,37.0,0.041,38.0,14.0,13.0,7.5,31.0,1.0,1.0,38.0,64,36,50.0
2017-04-24,0.6,7.0,44.0,42.0,0.049,45.0,30.0,28.0,8.2,34.0,10.0,14.0,45.0,75,42,58.5
2017-04-25,0.2,2.0,15.0,14.0,0.039,36.0,19.0,18.0,4.9,20.0,1.0,1.0,36.0,77,57,67.0
2017-04-26,0.4,5.0,33.0,31.0,0.041,38.0,63.0,55.0,11.0,46.0,9.0,13.0,55.0,82,56,69.0
2017-04-28,0.4,5.0,23.0,22.0,0.032,30.0,22.0,20.0,9.7,40.0,1.0,1.0,40.0,64,47,55.5
2017-04-29,0.4,5.0,11.0,10.0,0.033,31.0,8.0,7.0,7.6,32.0,0.0,0.0,32.0,58,47,52.5
2017-04-30,0.3,3.0,13.0,12.0,0.03,28.0,17.0,16.0,8.2,34.0,2.0,3.0,34.0,86,49,67.5
2017-05-01,0.3,3.0,17.0,16.0,0.042,39.0,21.0,19.0,7.7,32.0,4.0,6.0,39.0,76,53,64.5
2017-05-03,0.2,2.0,12.0,11.0,0.037,34.0,8.0,7.0,3.2,13.0,1.0,1.0,34.0,57,44,50.5
2017-05-04,0.3,3.0,22.0,21.0,0.022,20.0,12.0,11.0,5.9,25.0,1.0,1.0,25.0,56,48,52.0
2017-05-05,0.3,3.0,12.0,11.0,0.037,34.0,3.0,3.0,2.1,9.0,0.0,0.0,34.0,53,45,49.0
2017-05-06,0.2,2.0,4.0,4.0,0.034,31.0,4.0,4.0,2.5,10.0,0.0,0.0,31.0,52,45,48.5
2017-05-07,0.2,2.0,13.0,12.0,0.039,36.0,6.0,6.0,1.5,6.0,1.0,1.0,36.0,56,40,48.0
2017-05-09,0.5,6.0,48.0,45.0,0.043,40.0,54.0,50.0,12.6,52.0,10.0,14.0,52.0,62,36,49.0
2017-05-10,0.4,5.0,34.0,32.0,0.037,34.0,23.0,21.0,5.0,21.0,1.0,1.0,34.0,64,48,56.0
2017-05-11,0.3,3.0,19.0,18.0,0.031,29.0,12.0,11.0,4.9,20.0,0.0,0.0,29.0,58,51,54.5
2017-05-12,0.4,5.0,29.0,27.0,0.03,28.0,15.0,14.0,10.7,45.0,0.0,0.0,45.0,59,48,53.5
2017-05-13,0.3,3.0,23.0,22.0,0.047,44.0,19.0,18.0,10.4,43.0,0.0,0.0,44.0,70,42,56.0
2017-05-14,0.3,3.0,15.0,14.0,0.038,35.0,14.0,13.0,13.4,54.0,2.0,3.0,54.0,64,50,57.0
2017-05-15,0.4,5.0,38.0,36.0,0.029,27.0,21.0,19.0,4.0,17.0,3.0,4.0,36.0,68,40,54.0
2017-05-16,0.4,5.0,26.0,25.0,0.061,71.0,57.0,52.0,11.0,46.0,3.0,4.0,71.0,87,49,68.0
2017-05-17,0.4,5.0,41.0,39.0,0.05,46.0,64.0,55.0,15.1,57.0,5.0,7.0,57.0,90,70,80.0
2017-05-18,0.2,2.0,11.0,10.0,0.048,44.0,44.0,41.0,25.5,79.0,0.0,0.0,79.0,89,71,80.0
2017-05-19,0.2,2.0,11.0,10.0,0.025,23.0,11.0,10.0,5.6,23.0,0.0,0.0,23.0,72,52,62.0
2017-05-20,0.3,3.0,11.0,10.0,0.031,29.0,15.0,14.0,7.0,29.0,0.0,0.0,29.0,73,54,63.5
2017-05-21,0.5,6.0,11.0,10.0,0.031,29.0,20.0,19.0,11.2,47.0,1.0,1.0,47.0,76,65,70.5
2017-05-22,0.2,2.0,21.0,20.0,0.045,42.0,14.0,13.0,4.8,20.0,14.0,20.0,42.0,71,54,62.5
2017-05-23,0.4,5.0,39.0,37.0,0.047,44.0,35.0,32.0,11.3,47.0,10.0,14.0,47.0,77,52,64.5
2017-05-24,0.4,5.0,32.0,30.0,0.033,31.0,18.0,17.0,9.0,38.0,3.0,4.0,38.0,68,61,64.5
2017-05-25,0.3,3.0,22.0,21.0,0.029,27.0,8.0,7.0,4.9,20.0,0.0,0.0,27.0,63,59,61.0
2017-05-26,0.3,3.0,31.0,29.0,0.037,34.0,11.0,10.0,5.2,22.0,0.0,0.0,34.0,70,58,64.0
2017-05-27,0.4,5.0,24.0,23.0,0.039,36.0,12.0,11.0,10.1,42.0,0.0,0.0,42.0,73,59,66.0
2017-05-28,0.4,5.0,14.0,13.0,0.039,36.0,23.0,21.0,12.3,51.0,10.0,14.0,51.0,81,59,70.0
2017-05-29,0.3,3.0,14.0,13.0,0.047,44.0,16.0,15.0,6.8,28.0,8.0,11.0,44.0,82,60,71.0
2017-05-30,0.3,3.0,20.0,19.0,0.044,41.0,27.0,25.0,4.7,20.0,6.0,9.0,41.0,79,58,68.5
2017-05-31,0.3,3.0,36.0,34.0,0.047,44.0,40.0,37.0,8.3,35.0,12.0,17.0,44.0,78,56,67.0
2017-06-01,0.3,3.0,39.0,37.0,0.042,39.0,27.0,25.0,6.5,27.0,10.0,14.0,39.0,73,53,63.0
2017-06-02,0.5,6.0,38.0,36.0,0.041,38.0,44.0,41.0,14.7,56.0,10.0,14.0,56.0,80,52,66.0
2017-06-03,0.3,3.0,18.0,17.0,0.045,42.0,29.0,27.0,11.8,49.0,1.0,1.0,49.0,82,56,69.0
2017-06-04,0.4,5.0,33.0,31.0,0.051,47.0,29.0,27.0,13.4,54.0,11.0,16.0,54.0,88,69,78.5
2017-06-05,0.2,2.0,11.0,10.0,0.042,39.0,12.0,11.0,6.1,25.0,0.0,0.0,39.0,71,59,65.0
2017-06-06,0.2,2.0,10.0,9.0,0.03,28.0,10.0,9.0,5.0,21.0,0.0,0.0,28.0,68,52,60.0
2017-06-07,0.3,3.0,17.0,16.0,0.028,26.0,9.0,8.0,3.6,15.0,0.0,0.0,26.0,66,54,60.0
2017-06-08,0.6,7.0,36.0,34.0,0.036,33.0,30.0,28.0,8.9,37.0,5.0,7.0,37.0,73,50,61.5
2017-06-09,0.5,6.0,36.0,34.0,0.043,40.0,69.0,58.0,16.3,60.0,17.0,24.0,60.0,79,53,66.0
2017-06-10,0.7,8.0,10.0,9.0,0.064,80.0,30.0,28.0,10.0,42.0,1.0,1.0,80.0,89,67,78.0
2017-06-14,0.4,5.0,28.0,26.0,0.052,48.0,40.0,37.0,13.0,53.0,3.0,4.0,53.0,88,69,78.5
2017-06-15,0.4,5.0,32.0,30.0,0.044,41.0,24.0,22.0,7.9,33.0,14.0,20.0,41.0,86,72,79.0
2017-06-16,0.3,3.0,24.0,23.0,0.055,51.0,22.0,20.0,4.9,20.0,7.0,10.0,51.0,91,70,80.5
2017-06-17,0.3,3.0,15.0,14.0,0.056,54.0,29.0,27.0,10.3,43.0,5.0,7.0,54.0,92,72,82.0
2017-06-18,0.2,2.0,5.0,5.0,0.039,36.0,19.0,18.0,3.0,13.0,0.0,0.0,36.0,90,72,81.0
2017-06-19,0.2,2.0,15.0,14.0,0.041,38.0,13.0,12.0,-0.1,0.0,1.0,1.0,38.0,81,63,72.0
2017-06-20,0.2,2.0,14.0,13.0,0.043,40.0,12.0,11.0,0.3,1.0,0.0,0.0,40.0,80,60,70.0
2017-06-21,0.3,3.0,27.0,25.0,0.041,38.0,14.0,13.0,5.0,21.0,2.0,3.0,38.0,76,60,68.0
2017-06-22,0.3,3.0,27.0,25.0,0.044,41.0,37.0,34.0,7.8,33.0,4.0,6.0,41.0,89,62,75.5
2017-06-23,0.3,3.0,11.0,10.0,0.028,26.0,10.0,9.0,-2.9,0.0,0.0,0.0,26.0,78,71,74.5
2017-06-24,0.2,2.0,9.0,8.0,0.041,38.0,13.0,12.0,0.9,4.0,0.0,0.0,38.0,81,63,72.0
2017-06-25,0.2,2.0,9.0,8.0,0.043,40.0,12.0,11.0,0.8,3.0,0.0,0.0,40.0,76,60,68.0
2017-06-27,0.2,2.0,30.0,28.0,0.033,31.0,16.0,15.0,1.9,8.0,8.0,11.0,31.0,72,53,62.5
2017-06-28,0.2,2.0,16.0,15.0,0.047,44.0,24.0,22.0,3.1,13.0,7.0,10.0,44.0,79,57,68.0
2017-06-29,0.2,2.0,22.0,21.0,0.052,48.0,36.0,33.0,4.7,20.0,7.0,10.0,48.0,88,68,78.0
2017-06-30,0.3,3.0,16.0,15.0,0.043,40.0,16.0,15.0,2.3,10.0,1.0,1.0,40.0,88,70,79.0
2017-07-01,0.2,2.0,24.0,23.0,0.044,41.0,13.0,12.0,3.4,14.0,2.0,3.0,41.0,85,69,77.0
2017-07-02,0.3,3.0,12.0,11.0,0.053,49.0,18.0,17.0,4.3,18.0,0.0,0.0,49.0,85,67,76.0
2017-07-04,0.3,3.0,13.0,12.0,0.038,35.0,20.0,19.0,7.3,30.0,2.0,3.0,35.0,79,68,73.5
2017-07-05,0.3,3.0,23.0,22.0,0.035,32.0,22.0,20.0,9.3,39.0,0.0,0.0,39.0,82,61,71.5
2017-07-06,0.7,8.0,34.0,32.0,0.054,50.0,54.0,50.0,15.0,57.0,14.0,20.0,57.0,83,66,74.5
2017-07-07,0.4,5.0,17.0,16.0,0.05,46.0,16.0,15.0,2.8,12.0,1.0,1.0,46.0,83,68,75.5
2017-07-08,0.3,3.0,13.0,12.0,0.033,31.0,14.0,13.0,4.4,18.0,9.0,13.0,31.0,77,63,70.0
2017-07-09,0.4,5.0,16.0,15.0,0.05,46.0,20.0,19.0,6.2,26.0,7.0,10.0,46.0,82,59,70.5
2017-07-12,0.3,3.0,11.0,10.0,0.045,42.0,21.0,19.0,3.8,16.0,0.0,0.0,42.0,88,72,80.0
2017-07-13,0.2,2.0,16.0,15.0,0.03,28.0,18.0,17.0,6.3,26.0,0.0,0.0,28.0,84,73,78.5
2017-07-14,0.2,2.0,10.0,9.0,0.039,36.0,14.0,13.0,2.3,10.0,0.0,0.0,36.0,85,72,78.5
2017-07-15,0.2,2.0,21.0,20.0,0.032,30.0,12.0,11.0,2.6,11.0,3.0,4.0,30.0,79,65,72.0
2017-07-16,0.3,3.0,15.0,14.0,0.043,40.0,18.0,17.0,6.8,28.0,7.0,10.0,40.0,85,62,73.5
2017-07-17,0.2,2.0,24.0,23.0,0.034,31.0,15.0,14.0,5.7,24.0,0.0,0.0,31.0,78,66,72.0
2017-07-18,0.4,5.0,31.0,29.0,0.049,45.0,48.0,44.0,11.7,49.0,40.0,56.0,56.0,87,62,74.5
2017-07-19,0.4,5.0,36.0,34.0,0.061,71.0,33.0,31.0,12.4,52.0,6.0,9.0,71.0,92,74,83.0
2017-07-20,0.3,3.0,31.0,29.0,0.049,45.0,28.0,26.0,6.3,26.0,4.0,6.0,45.0,89,74,81.5
2017-07-21,0.3,3.0,40.0,38.0,0.049,45.0,26.0,24.0,7.2,30.0,5.0,7.0,45.0,91,73,82.0
2017-07-22,0.3,3.0,18.0,17.0,0.04,37.0,18.0,17.0,6.1,25.0,3.0,4.0,37.0,85,75,80.0
2017-07-23,0.2,2.0,8.0,8.0,0.047,44.0,11.0,10.0,1.6,7.0,0.0,0.0,44.0,85,71,78.0
2017-07-24,0.2,2.0,13.0,12.0,0.028,26.0,9.0,8.0,0.3,1.0,2.0,3.0,26.0,76,68,72.0
2017-07-25,0.2,2.0,18.0,17.0,0.028,26.0,10.0,9.0,-2.7,0.0,1.0,1.0,26.0,77,64,70.5
2017-07-26,0.3,3.0,29.0,27.0,0.049,45.0,32.0,30.0,6.8,28.0,6.0,9.0,45.0,85,57,71.0
2017-07-29,0.3,3.0,11.0,10.0,0.031,29.0,12.0,11.0,-0.7,0.0,0.0,0.0,29.0,80,62,71.0
2017-07-30,0.3,3.0,18.0,17.0,0.032,30.0,14.0,13.0,1.4,6.0,0.0,0.0,30.0,85,60,72.5
2017-07-31,0.4,5.0,35.0,33.0,0.04,37.0,46.0,43.0,10.0,42.0,24.0,34.0,43.0,87,62,74.5
2017-08-01,0.6,7.0,46.0,43.0,0.053,49.0,50.0,46.0,12.3,51.0,28.0,40.0,51.0,88,63,75.5
2017-08-03,0.4,5.0,32.0,30.0,0.043,40.0,46.0,43.0,10.2,43.0,9.0,13.0,43.0,87,67,77.0
2017-08-04,0.4,5.0,22.0,21.0,0.031,29.0,20.0,19.0,6.5,27.0,1.0,1.0,29.0,82,63,72.5
2017-08-05,0.2,2.0,24.0,23.0,0.034,31.0,13.0,12.0,1.6,7.0,0.0,0.0,31.0,78,59,68.5
2017-08-06,0.4,5.0,19.0,18.0,0.038,35.0,25.0,23.0,7.8,33.0,6.0,9.0,35.0,80,60,70.0
2017-08-08,0.3,3.0,30.0,28.0,0.039,36.0,18.0,17.0,4.6,19.0,23.0,33.0,36.0,81,62,71.5
2017-08-10,0.4,5.0,33.0,31.0,0.046,43.0,52.0,48.0,13.1,53.0,7.0,10.0,53.0,84,60,72.0
2017-08-11,0.4,5.0,21.0,20.0,0.039,36.0,34.0,31.0,10.1,42.0,4.0,6.0,42.0,84,69,76.5
2017-08-12,0.2,2.0,15.0,14.0,0.048,44.0,14.0,13.0,4.8,20.0,0.0,0.0,44.0,79,64,71.5
2017-08-13,0.2,2.0,19.0,18.0,0.027,25.0,12.0,11.0,1.1,5.0,2.0,3.0,25.0,80,59,69.5
2017-08-14,0.5,6.0,39.0,37.0,0.044,41.0,40.0,37.0,8.5,35.0,10.0,14.0,41.0,85,63,74.0
2017-08-16,0.4,5.0,34.0,32.0,0.039,36.0,37.0,34.0,9.2,38.0,1.0,1.0,38.0,86,62,74.0
2017-08-17,0.4,5.0,28.0,26.0,0.023,21.0,49.0,45.0,12.2,51.0,2.0,3.0,51.0,92,72,82.0
2017-08-18,0.2,2.0,11.0,10.0,0.041,38.0,17.0,16.0,-0.2,0.0,0.0,0.0,38.0,85,70,77.5
