"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","390350034","1","11.8","ug/m3 LC","49","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/04/2017","AQS","390350034","1","5.6","ug/m3 LC","23","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/07/2017","AQS","390350034","1","16.6","ug/m3 LC","60","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/10/2017","AQS","390350034","1","5","ug/m3 LC","21","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/13/2017","AQS","390350034","1","6.2","ug/m3 LC","26","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/16/2017","AQS","390350034","1","22.9","ug/m3 LC","74","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/19/2017","AQS","390350034","1","8.6","ug/m3 LC","36","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/22/2017","AQS","390350034","1","6.8","ug/m3 LC","28","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/25/2017","AQS","390350034","1","7.9","ug/m3 LC","33","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/28/2017","AQS","390350034","1","11.5","ug/m3 LC","48","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"01/31/2017","AQS","390350034","1","7.6","ug/m3 LC","32","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/03/2017","AQS","390350034","1","6.4","ug/m3 LC","27","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/06/2017","AQS","390350034","1","18.2","ug/m3 LC","64","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/09/2017","AQS","390350034","1","3.4","ug/m3 LC","14","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/12/2017","AQS","390350034","1","15.6","ug/m3 LC","58","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/15/2017","AQS","390350034","1","3.8","ug/m3 LC","16","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/18/2017","AQS","390350034","1","10.2","ug/m3 LC","43","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/21/2017","AQS","390350034","1","12.7","ug/m3 LC","52","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/24/2017","AQS","390350034","1","7.4","ug/m3 LC","31","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"02/27/2017","AQS","390350034","1","6.5","ug/m3 LC","27","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/08/2017","AQS","390350034","1","2.4","ug/m3 LC","10","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/11/2017","AQS","390350034","1","3","ug/m3 LC","13","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/14/2017","AQS","390350034","1","2.9","ug/m3 LC","12","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/17/2017","AQS","390350034","1","13.4","ug/m3 LC","54","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/20/2017","AQS","390350034","1","15.1","ug/m3 LC","57","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/23/2017","AQS","390350034","1","5.3","ug/m3 LC","22","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/26/2017","AQS","390350034","1","10.2","ug/m3 LC","43","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/29/2017","AQS","390350034","1","4.1","ug/m3 LC","17","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/01/2017","AQS","390350034","1","4.5","ug/m3 LC","19","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/04/2017","AQS","390350034","1","3.3","ug/m3 LC","14","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"04/07/2017","AQS","390350034","1","2","ug/m3 LC","8","District 6","1","100.0000","88101","PM2.5 - Local Conditions","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
