"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","390350051","1","0.3","ppm","3","Galleria","19","79.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/02/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/03/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/04/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/05/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/06/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/07/2018","AQS","390350051","1","1","ppm","11","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/08/2018","AQS","390350051","1","0.5","ppm","6","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/09/2018","AQS","390350051","1","0.6","ppm","7","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/10/2018","AQS","390350051","1","1","ppm","11","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/11/2018","AQS","390350051","1","0.9","ppm","10","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/12/2018","AQS","390350051","1","0.7","ppm","8","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/13/2018","AQS","390350051","1","0","ppm","0","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/14/2018","AQS","390350051","1","0.2","ppm","2","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/15/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"01/16/2018","AQS","390350051","1","0.1","ppm","1","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
