"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","390350060","1","27","ppb","25","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/02/2018","AQS","390350060","1","14","ppb","13","GT Craig NCore","18","75.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/03/2018","AQS","390350060","1","34","ppb","32","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/04/2018","AQS","390350060","1","14","ppb","13","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/05/2018","AQS","390350060","1","12","ppb","11","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/06/2018","AQS","390350060","1","29","ppb","27","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/07/2018","AQS","390350060","1","34","ppb","32","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/08/2018","AQS","390350060","1","14","ppb","13","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/09/2018","AQS","390350060","1","37","ppb","35","GT Craig NCore","21","88.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/10/2018","AQS","390350060","1","29","ppb","27","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/11/2018","AQS","390350060","1","25","ppb","24","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/12/2018","AQS","390350060","1","14","ppb","13","GT Craig NCore","22","92.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/13/2018","AQS","390350060","1","6","ppb","6","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/14/2018","AQS","390350060","1","30","ppb","28","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/15/2018","AQS","390350060","1","36","ppb","34","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/17/2018","AQS","390350060","1","21","ppb","20","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/18/2018","AQS","390350060","1","15","ppb","14","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/19/2018","AQS","390350060","1","22","ppb","21","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/20/2018","AQS","390350060","1","20","ppb","19","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/21/2018","AQS","390350060","1","24","ppb","23","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/22/2018","AQS","390350060","1","23","ppb","22","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/25/2018","AQS","390350060","1","29","ppb","27","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/26/2018","AQS","390350060","1","30","ppb","28","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/27/2018","AQS","390350060","1","9","ppb","8","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/28/2018","AQS","390350060","1","32","ppb","30","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/29/2018","AQS","390350060","1","32","ppb","30","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/30/2018","AQS","390350060","1","22","ppb","21","GT Craig NCore","21","88.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"01/31/2018","AQS","390350060","1","26","ppb","25","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"02/01/2018","AQS","390350060","1","16","ppb","15","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"02/02/2018","AQS","390350060","1","12","ppb","11","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"02/03/2018","AQS","390350060","1","14","ppb","13","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"02/04/2018","AQS","390350060","1","13","ppb","12","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"02/05/2018","AQS","390350060","1","12","ppb","11","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"02/06/2018","AQS","390350060","1","40","ppb","38","GT Craig NCore","21","88.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"02/07/2018","AQS","390350060","1","29","ppb","27","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"02/08/2018","AQS","390350060","1","31","ppb","29","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"02/09/2018","AQS","390350060","1","45","ppb","42","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"02/10/2018","AQS","390350060","1","25","ppb","24","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"02/11/2018","AQS","390350060","1","25","ppb","24","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
