"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/01/2018","AQS","390350034","1","0.039","ppm","36","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/02/2018","AQS","390350034","1","0.038","ppm","35","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/03/2018","AQS","390350034","1","0.04","ppm","37","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/04/2018","AQS","390350034","1","0.04","ppm","37","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/05/2018","AQS","390350034","1","0.038","ppm","35","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/06/2018","AQS","390350034","1","0.028","ppm","26","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/07/2018","AQS","390350034","1","0.038","ppm","35","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/08/2018","AQS","390350034","1","0.036","ppm","33","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/09/2018","AQS","390350034","1","0.037","ppm","34","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/10/2018","AQS","390350034","1","0.042","ppm","39","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/11/2018","AQS","390350034","1","0.043","ppm","40","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/12/2018","AQS","390350034","1","0.043","ppm","40","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/13/2018","AQS","390350034","1","0.04","ppm","37","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/14/2018","AQS","390350034","1","0.039","ppm","36","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/15/2018","AQS","390350034","1","0.045","ppm","42","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/16/2018","AQS","390350034","1","0.037","ppm","34","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/17/2018","AQS","390350034","1","0.04","ppm","37","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/18/2018","AQS","390350034","1","0.046","ppm","43","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
"03/19/2018","AQS","390350034","1","0.043","ppm","40","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256"
