Date,High,Low
1/1/2017,43,27
1/2/2017,50,34
1/3/2017,50,40
1/4/2017,40,20
1/5/2017,21,13
1/6/2017,16,5
1/7/2017,17,6
1/8/2017,19,12
1/9/2017,31,15
1/10/2017,51,28
1/11/2017,59,35
1/12/2017,65,33
1/13/2017,33,26
1/14/2017,34,26
1/15/2017,35,20
1/16/2017,41,22
1/17/2017,61,41
1/18/2017,45,38
1/19/2017,46,36
1/20/2017,55,37
1/21/2017,63,42
1/22/2017,64,41
1/23/2017,44,40
1/24/2017,41,36
1/25/2017,52,37
1/26/2017,42,33
1/27/2017,34,29
1/28/2017,31,28
1/29/2017,32,26
1/30/2017,27,23
1/31/2017,38,26
2/1/2017,38,31
2/2/2017,33,21
2/3/2017,27,18
2/4/2017,33,16
2/5/2017,44,30
2/6/2017,54,25
2/7/2017,60,47
2/8/2017,53,28
2/9/2017,28,19
2/10/2017,37,16
2/11/2017,51,37
2/12/2017,46,35
2/13/2017,40,31
2/14/2017,52,32
2/15/2017,42,28
2/16/2017,30,22
2/17/2017,54,26
2/18/2017,69,49
2/19/2017,64,42
2/20/2017,59,33
2/21/2017,67,45
2/22/2017,63,52
2/23/2017,68,52
2/24/2017,77,45
2/25/2017,61,27
2/26/2017,43,26
2/27/2017,50,36
2/28/2017,61,39
3/1/2017,65,35
3/2/2017,35,27
3/3/2017,28,24
3/4/2017,29,21
3/5/2017,48,20
3/6/2017,59,45
3/7/2017,61,44
3/8/2017,56,40
3/9/2017,49,34
3/10/2017,36,22
3/11/2017,28,19
3/12/2017,29,22
3/13/2017,33,23
3/14/2017,27,19
3/15/2017,31,20
3/16/2017,38,26
3/17/2017,43,23
3/18/2017,41,35
3/19/2017,39,35
3/20/2017,49,34
3/21/2017,57,33
3/22/2017,33,23
3/23/2017,51,18
3/24/2017,74,42
3/25/2017,66,42
3/26/2017,68,42
3/27/2017,64,54
3/28/2017,54,39
3/29/2017,53,38
3/30/2017,53,43
3/31/2017,60,39
4/1/2017,49,37
4/2/2017,61,36
4/3/2017,74,50
4/4/2017,61,49
4/5/2017,66,43
4/6/2017,59,35
4/7/2017,46,32
4/8/2017,59,29
4/9/2017,74,42
4/10/2017,80,61
4/11/2017,71,51
4/12/2017,58,47
4/13/2017,56,45
4/14/2017,66,46
4/15/2017,83,54
4/16/2017,80,62
4/17/2017,66,49
4/18/2017,72,46
4/19/2017,78,56
4/20/2017,82,54
4/21/2017,66,47
4/22/2017,52,42
4/23/2017,64,36
4/24/2017,75,42
4/25/2017,77,57
4/26/2017,82,56
4/27/2017,81,50
4/28/2017,64,47
4/29/2017,58,47
4/30/2017,86,49
5/1/2017,76,53
5/2/2017,54,45
5/3/2017,57,44
5/4/2017,56,48
5/5/2017,53,45
5/6/2017,52,45
5/7/2017,56,40
5/8/2017,55,36
5/9/2017,62,36
5/10/2017,64,48
5/11/2017,58,51
5/12/2017,59,48
5/13/2017,70,42
5/14/2017,64,50
5/15/2017,68,40
5/16/2017,87,49
5/17/2017,90,70
5/18/2017,89,71
5/19/2017,72,52
5/20/2017,73,54
5/21/2017,76,65
5/22/2017,71,54
5/23/2017,77,52
5/24/2017,68,61
5/25/2017,63,59
5/26/2017,70,58
5/27/2017,73,59
5/28/2017,81,59
5/29/2017,82,60
5/30/2017,79,58
5/31/2017,78,56
6/1/2017,73,53
6/2/2017,80,52
6/3/2017,82,56
6/4/2017,88,69
6/5/2017,71,59
6/6/2017,68,52
6/7/2017,66,54
6/8/2017,73,50
6/9/2017,79,53
6/10/2017,89,67
