date,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulative_aqi,temp_high,temp_low,temp_avg,pct_change_aqi,month,weekday
2017-01-01,0.5,6.0,36.0,34.0,0.026,24.0,21.0,19.0,9.6,40.0,5.0,7.0,40.0,43,27,35.0,,1,6
2017-01-02,0.5,6.0,33.0,31.0,0.009,8.0,18.0,17.0,14.1,55.0,2.0,3.0,55.0,50,34,42.0,0.375,1,0
2017-01-03,0.4,5.0,24.0,23.0,0.015,14.0,9.0,8.0,7.7,32.0,0.0,0.0,32.0,50,40,45.0,-0.4181818181818182,1,1
2017-01-04,0.2,2.0,,,0.027,25.0,19.0,18.0,4.6,19.0,0.0,0.0,25.0,40,20,30.0,-0.21875,1,2
2017-01-05,,,19.0,18.0,0.02,19.0,11.0,10.0,5.3,22.0,0.0,0.0,22.0,21,13,17.0,-0.12,1,3
2017-01-06,0.3,3.0,25.0,24.0,0.024,22.0,17.0,16.0,14.1,55.0,0.0,0.0,55.0,16,5,10.5,1.5,1,4
2017-01-07,0.3,3.0,26.0,25.0,0.03,28.0,17.0,16.0,13.4,54.0,0.0,0.0,54.0,17,6,11.5,-0.018181818181818188,1,5
2017-01-08,0.2,2.0,9.0,8.0,0.032,30.0,10.0,9.0,1.5,6.0,1.0,1.0,30.0,19,12,15.5,-0.4444444444444444,1,6
2017-01-09,0.4,5.0,26.0,25.0,0.023,21.0,39.0,36.0,11.3,47.0,8.0,11.0,47.0,31,15,23.0,0.5666666666666667,1,0
2017-01-10,0.4,5.0,27.0,25.0,0.032,30.0,13.0,12.0,5.6,23.0,1.0,1.0,30.0,51,28,39.5,-0.36170212765957444,1,1
2017-01-11,0.4,5.0,25.0,24.0,0.024,22.0,20.0,19.0,10.2,43.0,5.0,7.0,43.0,59,35,47.0,0.43333333333333335,1,2
2017-01-12,0.3,3.0,22.0,21.0,0.028,26.0,11.0,10.0,9.4,39.0,9.0,13.0,39.0,65,33,49.0,-0.09302325581395354,1,3
2017-01-13,0.3,3.0,14.0,13.0,0.027,25.0,15.0,14.0,6.8,28.0,10.0,14.0,28.0,33,26,29.5,-0.28205128205128205,1,4
2017-01-14,0.3,3.0,20.0,19.0,0.026,24.0,12.0,11.0,8.3,35.0,1.0,1.0,35.0,34,26,30.0,0.25,1,5
2017-01-15,0.7,8.0,37.0,35.0,0.015,14.0,21.0,19.0,21.3,70.0,8.0,11.0,70.0,35,20,27.5,1.0,1,6
2017-01-16,0.7,8.0,34.0,32.0,0.005,5.0,39.0,36.0,29.0,87.0,2.0,3.0,87.0,41,22,31.5,0.24285714285714288,1,0
2017-01-17,0.5,6.0,24.0,23.0,0.02,19.0,12.0,11.0,11.0,46.0,1.0,1.0,46.0,61,41,51.0,-0.47126436781609193,1,1
2017-01-18,0.3,3.0,14.0,13.0,0.02,19.0,5.0,5.0,4.0,17.0,0.0,0.0,19.0,45,38,41.5,-0.5869565217391304,1,2
2017-01-19,0.3,3.0,23.0,22.0,0.016,15.0,11.0,10.0,8.1,34.0,0.0,0.0,34.0,46,36,41.0,0.7894736842105263,1,3
2017-01-20,0.5,6.0,22.0,21.0,0.006,6.0,13.0,12.0,10.6,44.0,1.0,1.0,44.0,55,37,46.0,0.2941176470588236,1,4
2017-01-21,0.6,7.0,22.0,21.0,0.021,19.0,19.0,18.0,12.2,51.0,4.0,6.0,51.0,63,42,52.5,0.15909090909090917,1,5
2017-01-22,0.4,5.0,21.0,20.0,0.015,14.0,16.0,15.0,9.2,38.0,4.0,6.0,38.0,64,41,52.5,-0.2549019607843137,1,6
2017-01-23,0.4,5.0,19.0,18.0,0.014,13.0,11.0,10.0,10.5,44.0,0.0,0.0,44.0,44,40,42.0,0.1578947368421053,1,0
2017-01-24,0.3,3.0,16.0,15.0,0.02,19.0,7.0,6.0,8.4,35.0,3.0,4.0,35.0,41,36,38.5,-0.20454545454545459,1,1
2017-01-25,0.3,3.0,24.0,23.0,0.024,22.0,15.0,14.0,7.8,33.0,3.0,4.0,33.0,52,37,44.5,-0.05714285714285716,1,2
2017-01-26,0.2,2.0,10.0,9.0,0.021,19.0,5.0,5.0,2.8,12.0,0.0,0.0,19.0,42,33,37.5,-0.4242424242424242,1,3
2017-01-27,0.2,2.0,12.0,11.0,0.026,24.0,7.0,6.0,5.0,21.0,0.0,0.0,24.0,34,29,31.5,0.26315789473684204,1,4
2017-01-28,0.2,2.0,7.0,7.0,0.025,23.0,10.0,9.0,8.9,37.0,0.0,0.0,37.0,31,28,29.5,0.5416666666666667,1,5
2017-01-29,0.2,2.0,18.0,17.0,0.032,30.0,7.0,6.0,6.0,25.0,0.0,0.0,30.0,32,26,29.0,-0.18918918918918914,1,6
2017-01-30,0.3,3.0,21.0,20.0,0.033,31.0,9.0,8.0,2.4,10.0,3.0,4.0,31.0,27,23,25.0,0.03333333333333344,1,0
2017-01-31,0.3,3.0,31.0,29.0,0.027,25.0,10.0,9.0,9.1,38.0,,,38.0,38,26,32.0,0.22580645161290325,1,1
2017-02-01,0.3,3.0,32.0,30.0,0.029,27.0,8.0,7.0,5.2,22.0,0.0,0.0,30.0,38,31,34.5,-0.21052631578947367,2,2
2017-02-02,0.3,3.0,17.0,16.0,0.034,31.0,12.0,11.0,5.0,21.0,0.0,0.0,31.0,33,21,27.0,0.03333333333333344,2,3
2017-02-03,0.3,3.0,24.0,23.0,0.039,36.0,22.0,20.0,7.1,30.0,0.0,0.0,36.0,27,18,22.5,0.16129032258064524,2,4
2017-02-04,0.2,2.0,17.0,16.0,0.034,31.0,12.0,11.0,3.4,14.0,4.0,6.0,31.0,33,16,24.5,-0.13888888888888884,2,5
2017-02-05,0.2,2.0,10.0,9.0,0.03,28.0,16.0,15.0,8.6,36.0,1.0,1.0,36.0,44,30,37.0,0.16129032258064524,2,6
2017-02-06,,,45.0,42.0,0.025,23.0,35.0,32.0,19.9,67.0,5.0,7.0,67.0,54,25,39.5,0.8611111111111112,2,0
2017-02-07,0.5,6.0,30.0,28.0,0.027,25.0,15.0,14.0,9.4,39.0,1.0,1.0,39.0,60,47,53.5,-0.417910447761194,2,1
2017-02-08,0.3,3.0,12.0,11.0,0.033,31.0,10.0,9.0,2.8,12.0,0.0,0.0,31.0,53,28,40.5,-0.20512820512820518,2,2
2017-02-09,0.2,2.0,10.0,9.0,0.035,32.0,15.0,14.0,1.9,8.0,0.0,0.0,32.0,28,19,23.5,0.032258064516129004,2,3
2017-02-10,0.6,7.0,22.0,21.0,0.024,22.0,35.0,32.0,10.0,42.0,11.0,16.0,42.0,37,16,26.5,0.3125,2,4
2017-02-11,0.6,7.0,33.0,31.0,0.021,19.0,22.0,20.0,10.5,44.0,0.0,0.0,44.0,51,37,44.0,0.04761904761904767,2,5
2017-02-12,0.7,8.0,31.0,29.0,0.039,36.0,12.0,11.0,17.5,62.0,0.0,0.0,62.0,46,35,40.5,0.40909090909090917,2,6
2017-02-13,0.5,6.0,46.0,43.0,0.036,33.0,25.0,23.0,4.4,18.0,1.0,1.0,43.0,40,31,35.5,-0.30645161290322576,2,0
2017-02-14,0.6,7.0,17.0,16.0,0.035,32.0,19.0,18.0,5.9,25.0,1.0,1.0,32.0,52,32,42.0,-0.2558139534883721,2,1
2017-02-15,0.2,2.0,10.0,9.0,0.033,31.0,9.0,8.0,2.2,9.0,0.0,0.0,31.0,42,28,35.0,-0.03125,2,2
2017-02-16,0.4,5.0,46.0,43.0,0.033,31.0,28.0,26.0,4.0,17.0,3.0,4.0,43.0,30,22,26.0,0.3870967741935485,2,3
2017-02-17,0.5,6.0,39.0,37.0,0.032,30.0,49.0,45.0,14.2,55.0,12.0,17.0,55.0,54,26,40.0,0.2790697674418605,2,4
2017-02-18,0.4,5.0,13.0,12.0,0.048,44.0,20.0,19.0,8.3,35.0,1.0,1.0,44.0,69,49,59.0,-0.19999999999999996,2,5
2017-02-19,0.5,6.0,39.0,37.0,0.038,35.0,28.0,26.0,17.7,63.0,0.0,0.0,63.0,64,42,53.0,0.4318181818181819,2,6
2017-02-20,1.0,11.0,45.0,42.0,0.014,13.0,50.0,46.0,17.1,62.0,2.0,3.0,62.0,59,33,46.0,-0.015873015873015928,2,0
2017-02-21,0.6,7.0,43.0,41.0,0.026,24.0,71.0,59.0,14.3,56.0,8.0,11.0,59.0,67,45,56.0,-0.048387096774193505,2,1
2017-02-22,0.7,8.0,38.0,36.0,0.034,31.0,28.0,26.0,17.4,62.0,4.0,6.0,62.0,63,52,57.5,0.05084745762711873,2,2
2017-02-23,0.5,6.0,36.0,34.0,0.027,25.0,27.0,25.0,15.0,57.0,0.0,0.0,57.0,68,52,60.0,-0.08064516129032262,2,3
2017-02-24,0.5,6.0,30.0,28.0,0.038,35.0,32.0,30.0,13.3,54.0,7.0,10.0,54.0,77,45,61.0,-0.052631578947368474,2,4
2017-02-25,0.2,2.0,5.0,5.0,0.031,29.0,5.0,5.0,3.4,14.0,0.0,0.0,29.0,61,27,44.0,-0.4629629629629629,2,5
2017-02-26,0.2,2.0,7.0,7.0,0.036,33.0,8.0,7.0,4.2,18.0,0.0,0.0,33.0,43,26,34.5,0.13793103448275867,2,6
2017-02-27,0.3,3.0,18.0,17.0,0.036,33.0,14.0,13.0,4.3,18.0,1.0,1.0,33.0,50,36,43.0,0.0,2,0
2017-02-28,0.6,7.0,25.0,24.0,0.029,27.0,29.0,27.0,13.1,53.0,6.0,9.0,53.0,61,39,50.0,0.606060606060606,2,1
2017-03-01,0.4,5.0,29.0,27.0,0.037,34.0,11.0,10.0,,,1.0,1.0,34.0,65,35,50.0,-0.3584905660377359,3,2
2017-03-02,0.2,2.0,9.0,8.0,0.038,35.0,12.0,11.0,2.8,12.0,0.0,0.0,35.0,35,27,31.0,0.02941176470588225,3,3
2017-03-03,0.2,2.0,14.0,13.0,0.038,35.0,14.0,13.0,2.7,11.0,0.0,0.0,35.0,28,24,26.0,0.0,3,4
2017-03-04,0.2,2.0,12.0,11.0,0.04,37.0,10.0,9.0,1.4,6.0,0.0,0.0,37.0,29,21,25.0,0.05714285714285716,3,5
2017-03-05,0.4,5.0,14.0,13.0,0.035,32.0,14.0,13.0,,,3.0,4.0,32.0,48,20,34.0,-0.1351351351351351,3,6
2017-03-06,,,43.0,41.0,0.037,34.0,46.0,43.0,,,12.0,17.0,43.0,59,45,52.0,0.34375,3,0
2017-03-07,0.4,5.0,11.0,10.0,0.037,34.0,14.0,13.0,8.2,34.0,1.0,1.0,34.0,61,44,52.5,-0.2093023255813954,3,1
2017-03-09,,,,,0.035,32.0,,,,,,,32.0,49,34,41.5,-0.05882352941176472,3,3
2017-03-10,0.2,2.0,10.0,9.0,0.038,35.0,,,4.2,18.0,1.0,1.0,35.0,36,22,29.0,0.09375,3,4
2017-03-11,0.2,2.0,17.0,16.0,0.04,37.0,,,2.8,12.0,1.0,1.0,37.0,28,19,23.5,0.05714285714285716,3,5
2017-03-12,0.2,2.0,18.0,17.0,0.04,37.0,,,0.7,3.0,1.0,1.0,37.0,29,22,25.5,0.0,3,6
2017-03-13,0.3,3.0,16.0,15.0,0.032,30.0,,,2.7,11.0,0.0,0.0,30.0,33,23,28.0,-0.18918918918918914,3,0
2017-03-14,0.2,2.0,8.0,8.0,0.038,35.0,,,1.6,7.0,0.0,0.0,35.0,27,19,23.0,0.16666666666666674,3,1
2017-03-15,0.2,2.0,9.0,8.0,0.043,40.0,,,1.9,8.0,0.0,0.0,40.0,31,20,25.5,0.1428571428571428,3,2
2017-03-16,0.3,3.0,40.0,38.0,0.04,37.0,,,4.0,17.0,1.0,1.0,38.0,38,26,32.0,-0.050000000000000044,3,3
2017-03-17,0.7,8.0,49.0,46.0,0.033,31.0,,,16.5,60.0,8.0,11.0,60.0,43,23,33.0,0.5789473684210527,3,4
2017-03-18,0.4,5.0,19.0,18.0,0.028,26.0,,,12.3,51.0,1.0,1.0,51.0,41,35,38.0,-0.15000000000000002,3,5
2017-03-19,0.3,3.0,35.0,33.0,0.038,35.0,,,20.7,69.0,1.0,1.0,69.0,39,35,37.0,0.3529411764705883,3,6
2017-03-20,0.5,6.0,36.0,34.0,0.021,19.0,,,19.1,66.0,4.0,6.0,66.0,49,34,41.5,-0.04347826086956519,3,0
2017-03-21,0.5,6.0,37.0,35.0,0.038,35.0,,,16.8,61.0,0.0,0.0,61.0,57,33,45.0,-0.0757575757575758,3,1
2017-03-22,0.3,3.0,20.0,19.0,,,,,1.2,5.0,0.0,0.0,19.0,33,23,28.0,-0.6885245901639344,3,2
2017-03-23,0.6,7.0,45.0,42.0,0.036,33.0,,,10.0,42.0,3.0,4.0,42.0,51,18,34.5,1.210526315789474,3,3
2017-03-24,0.5,6.0,20.0,19.0,0.05,46.0,,,13.5,54.0,2.0,3.0,54.0,74,42,58.0,0.2857142857142858,3,4
2017-03-25,0.6,7.0,42.0,40.0,0.022,20.0,,,15.2,58.0,3.0,4.0,58.0,66,42,54.0,0.07407407407407418,3,5
2017-03-26,0.5,6.0,28.0,26.0,0.029,27.0,,,12.4,52.0,3.0,4.0,52.0,68,42,55.0,-0.10344827586206895,3,6
2017-03-27,0.3,3.0,19.0,18.0,0.025,23.0,,,7.7,32.0,0.0,0.0,32.0,64,54,59.0,-0.3846153846153846,3,0
2017-03-28,0.4,5.0,33.0,31.0,0.027,25.0,,,5.8,24.0,0.0,0.0,31.0,54,39,46.5,-0.03125,3,1
2017-03-29,0.3,3.0,32.0,30.0,0.034,31.0,,,5.8,24.0,0.0,0.0,31.0,53,38,45.5,0.0,3,2
2017-03-30,0.3,3.0,19.0,18.0,0.026,24.0,,,5.6,23.0,0.0,0.0,24.0,53,43,48.0,-0.22580645161290325,3,3
2017-03-31,0.4,5.0,30.0,28.0,0.028,26.0,,,7.1,30.0,0.0,0.0,30.0,60,39,49.5,0.25,3,4
2017-04-01,0.3,3.0,28.0,26.0,0.044,41.0,,,6.2,26.0,1.0,1.0,41.0,49,37,43.0,0.3666666666666667,4,5
2017-04-02,0.5,6.0,29.0,27.0,0.041,38.0,,,11.7,49.0,2.0,3.0,49.0,61,36,48.5,0.19512195121951215,4,6
2017-04-03,,,21.0,20.0,0.037,34.0,,,9.4,39.0,6.0,9.0,39.0,74,50,62.0,-0.20408163265306123,4,0
2017-04-04,0.3,3.0,,,0.036,33.0,,,5.3,22.0,0.0,0.0,33.0,61,49,55.0,-0.15384615384615385,4,1
2017-04-05,0.3,3.0,27.0,25.0,0.04,37.0,,,3.7,15.0,0.0,0.0,37.0,66,43,54.5,0.1212121212121211,4,2
2017-04-06,0.3,3.0,21.0,20.0,0.032,30.0,,,4.2,18.0,1.0,1.0,30.0,59,35,47.0,-0.18918918918918914,4,3
2017-04-07,0.3,3.0,33.0,31.0,0.039,36.0,,,0.0,0.0,0.0,0.0,36.0,46,32,39.0,0.19999999999999996,4,4
2017-04-08,0.5,6.0,43.0,41.0,0.037,34.0,,,5.2,22.0,3.0,4.0,41.0,59,29,44.0,0.13888888888888884,4,5
2017-04-09,0.5,6.0,31.0,29.0,0.046,43.0,,,,,13.0,19.0,43.0,74,42,58.0,0.04878048780487809,4,6
2017-04-10,,,25.0,24.0,0.051,47.0,,,,,12.0,17.0,47.0,80,61,70.5,0.09302325581395343,4,0
2017-04-11,0.5,6.0,32.0,30.0,0.035,32.0,,,10.9,45.0,1.0,1.0,45.0,71,51,61.0,-0.04255319148936165,4,1
2017-04-12,0.4,5.0,31.0,29.0,0.033,31.0,,,5.4,23.0,0.0,0.0,31.0,58,47,52.5,-0.3111111111111111,4,2
2017-04-13,0.4,5.0,31.0,29.0,0.026,24.0,18.0,17.0,6.5,27.0,0.0,0.0,29.0,56,45,50.5,-0.06451612903225812,4,3
2017-04-14,0.5,6.0,40.0,38.0,0.038,35.0,24.0,22.0,6.6,28.0,2.0,3.0,38.0,66,46,56.0,0.31034482758620685,4,4
2017-04-15,0.5,6.0,24.0,23.0,0.053,49.0,33.0,31.0,13.2,53.0,5.0,7.0,53.0,83,54,68.5,0.39473684210526305,4,5
2017-04-16,0.2,2.0,10.0,9.0,0.047,44.0,17.0,16.0,7.7,32.0,1.0,1.0,44.0,80,62,71.0,-0.16981132075471694,4,6
2017-04-17,0.3,3.0,31.0,29.0,0.038,35.0,13.0,12.0,4.1,17.0,1.0,1.0,35.0,66,49,57.5,-0.20454545454545459,4,0
2017-04-18,0.4,5.0,30.0,28.0,0.046,43.0,24.0,22.0,5.8,24.0,1.0,1.0,43.0,72,46,59.0,0.22857142857142865,4,1
2017-04-19,0.3,3.0,25.0,24.0,0.033,31.0,27.0,25.0,9.3,39.0,10.0,14.0,39.0,78,56,67.0,-0.09302325581395354,4,2
2017-04-20,0.4,5.0,29.0,27.0,0.031,29.0,22.0,20.0,16.0,59.0,1.0,1.0,59.0,82,54,68.0,0.5128205128205128,4,3
2017-04-21,0.4,5.0,8.0,8.0,0.031,29.0,6.0,6.0,6.2,26.0,0.0,0.0,29.0,66,47,56.5,-0.5084745762711864,4,4
2017-04-22,0.2,2.0,13.0,12.0,0.033,31.0,5.0,5.0,3.1,13.0,1.0,1.0,31.0,52,42,47.0,0.06896551724137923,4,5
2017-04-23,0.4,5.0,39.0,37.0,0.041,38.0,14.0,13.0,7.5,31.0,1.0,1.0,38.0,64,36,50.0,0.22580645161290325,4,6
2017-04-24,0.6,7.0,44.0,42.0,0.049,45.0,30.0,28.0,8.2,34.0,10.0,14.0,45.0,75,42,58.5,0.18421052631578938,4,0
2017-04-25,0.2,2.0,15.0,14.0,0.039,36.0,19.0,18.0,4.9,20.0,1.0,1.0,36.0,77,57,67.0,-0.19999999999999996,4,1
2017-04-26,0.4,5.0,33.0,31.0,0.041,38.0,63.0,55.0,11.0,46.0,9.0,13.0,55.0,82,56,69.0,0.5277777777777777,4,2
2017-04-27,,,31.0,29.0,0.043,40.0,57.0,52.0,12.3,51.0,6.0,9.0,52.0,81,50,65.5,-0.054545454545454564,4,3
2017-04-28,0.4,5.0,23.0,22.0,0.032,30.0,22.0,20.0,9.7,40.0,1.0,1.0,40.0,64,47,55.5,-0.23076923076923073,4,4
2017-04-29,0.4,5.0,11.0,10.0,0.033,31.0,8.0,7.0,7.6,32.0,0.0,0.0,32.0,58,47,52.5,-0.19999999999999996,4,5
2017-04-30,0.3,3.0,13.0,12.0,0.03,28.0,17.0,16.0,8.2,34.0,2.0,3.0,34.0,86,49,67.5,0.0625,4,6
2017-05-01,0.3,3.0,17.0,16.0,0.042,39.0,21.0,19.0,7.7,32.0,4.0,6.0,39.0,76,53,64.5,0.1470588235294117,5,0
2017-05-02,,,6.0,6.0,0.041,38.0,6.0,6.0,1.8,8.0,1.0,1.0,38.0,54,45,49.5,-0.02564102564102566,5,1
2017-05-03,0.2,2.0,12.0,11.0,0.037,34.0,8.0,7.0,3.2,13.0,1.0,1.0,34.0,57,44,50.5,-0.10526315789473684,5,2
2017-05-04,0.3,3.0,22.0,21.0,0.022,20.0,12.0,11.0,5.9,25.0,1.0,1.0,25.0,56,48,52.0,-0.2647058823529411,5,3
2017-05-05,0.3,3.0,12.0,11.0,0.037,34.0,3.0,3.0,2.1,9.0,0.0,0.0,34.0,53,45,49.0,0.3600000000000001,5,4
2017-05-06,0.2,2.0,4.0,4.0,0.034,31.0,4.0,4.0,2.5,10.0,0.0,0.0,31.0,52,45,48.5,-0.08823529411764708,5,5
2017-05-07,0.2,2.0,13.0,12.0,0.039,36.0,6.0,6.0,1.5,6.0,1.0,1.0,36.0,56,40,48.0,0.16129032258064524,5,6
2017-05-08,0.2,2.0,35.0,33.0,0.041,38.0,25.0,23.0,2.1,9.0,,,38.0,55,36,45.5,0.05555555555555558,5,0
2017-05-09,0.5,6.0,48.0,45.0,0.043,40.0,54.0,50.0,12.6,52.0,10.0,14.0,52.0,62,36,49.0,0.368421052631579,5,1
2017-05-10,0.4,5.0,34.0,32.0,0.037,34.0,23.0,21.0,5.0,21.0,1.0,1.0,34.0,64,48,56.0,-0.34615384615384615,5,2
2017-05-11,0.3,3.0,19.0,18.0,0.031,29.0,12.0,11.0,4.9,20.0,0.0,0.0,29.0,58,51,54.5,-0.1470588235294118,5,3
2017-05-12,0.4,5.0,29.0,27.0,0.03,28.0,15.0,14.0,10.7,45.0,0.0,0.0,45.0,59,48,53.5,0.5517241379310345,5,4
2017-05-13,0.3,3.0,23.0,22.0,0.047,44.0,19.0,18.0,10.4,43.0,0.0,0.0,44.0,70,42,56.0,-0.022222222222222254,5,5
2017-05-14,0.3,3.0,15.0,14.0,0.038,35.0,14.0,13.0,13.4,54.0,2.0,3.0,54.0,64,50,57.0,0.2272727272727273,5,6
2017-05-15,0.4,5.0,38.0,36.0,0.029,27.0,21.0,19.0,4.0,17.0,3.0,4.0,36.0,68,40,54.0,-0.33333333333333337,5,0
2017-05-16,0.4,5.0,26.0,25.0,0.061,71.0,57.0,52.0,11.0,46.0,3.0,4.0,71.0,87,49,68.0,0.9722222222222223,5,1
2017-05-17,0.4,5.0,41.0,39.0,0.05,46.0,64.0,55.0,15.1,57.0,5.0,7.0,57.0,90,70,80.0,-0.19718309859154926,5,2
2017-05-18,0.2,2.0,11.0,10.0,0.048,44.0,44.0,41.0,25.5,79.0,0.0,0.0,79.0,89,71,80.0,0.38596491228070184,5,3
2017-05-19,0.2,2.0,11.0,10.0,0.025,23.0,11.0,10.0,5.6,23.0,0.0,0.0,23.0,72,52,62.0,-0.7088607594936709,5,4
2017-05-20,0.3,3.0,11.0,10.0,0.031,29.0,15.0,14.0,7.0,29.0,0.0,0.0,29.0,73,54,63.5,0.26086956521739135,5,5
2017-05-21,0.5,6.0,11.0,10.0,0.031,29.0,20.0,19.0,11.2,47.0,1.0,1.0,47.0,76,65,70.5,0.6206896551724137,5,6
2017-05-22,0.2,2.0,21.0,20.0,0.045,42.0,14.0,13.0,4.8,20.0,14.0,20.0,42.0,71,54,62.5,-0.1063829787234043,5,0
2017-05-23,0.4,5.0,39.0,37.0,0.047,44.0,35.0,32.0,11.3,47.0,10.0,14.0,47.0,77,52,64.5,0.11904761904761907,5,1
2017-05-24,0.4,5.0,32.0,30.0,0.033,31.0,18.0,17.0,9.0,38.0,3.0,4.0,38.0,68,61,64.5,-0.19148936170212771,5,2
2017-05-25,0.3,3.0,22.0,21.0,0.029,27.0,8.0,7.0,4.9,20.0,0.0,0.0,27.0,63,59,61.0,-0.2894736842105263,5,3
2017-05-26,0.3,3.0,31.0,29.0,0.037,34.0,11.0,10.0,5.2,22.0,0.0,0.0,34.0,70,58,64.0,0.2592592592592593,5,4
2017-05-27,0.4,5.0,24.0,23.0,0.039,36.0,12.0,11.0,10.1,42.0,0.0,0.0,42.0,73,59,66.0,0.23529411764705888,5,5
2017-05-28,0.4,5.0,14.0,13.0,0.039,36.0,23.0,21.0,12.3,51.0,10.0,14.0,51.0,81,59,70.0,0.2142857142857142,5,6
2017-05-29,0.3,3.0,14.0,13.0,0.047,44.0,16.0,15.0,6.8,28.0,8.0,11.0,44.0,82,60,71.0,-0.13725490196078427,5,0
2017-05-30,0.3,3.0,20.0,19.0,0.044,41.0,27.0,25.0,4.7,20.0,6.0,9.0,41.0,79,58,68.5,-0.06818181818181823,5,1
2017-05-31,0.3,3.0,36.0,34.0,0.047,44.0,40.0,37.0,8.3,35.0,12.0,17.0,44.0,78,56,67.0,0.07317073170731714,5,2
2017-06-01,0.3,3.0,39.0,37.0,0.042,39.0,27.0,25.0,6.5,27.0,10.0,14.0,39.0,73,53,63.0,-0.11363636363636365,6,3
